PubMedID,Title,PublicationDate,Authors,CompanyAffiliations,CorrespondingAuthorEmail
40217487,Burnout syndrome and accidents in primary healthcare nursing workers: a scoping review.,2025-Apr-11,['N/A'],['N/A'],['N/A']
40217285,Digital stress perception and associations with work- and health-related outcomes among general practitioners in Germany: a quantitative study.,2025-Apr-11,['N/A'],['N/A'],['N/A']
40216936,Occupational burnout among healthcare workers in Central Asia during the COVID-19 pandemic.,2025-Apr-11,['N/A'],['N/A'],['N/A']
40216422,Predictive value of burnout complaints and depressive symptoms for medically certified sickness absence among physicians in Sweden: a 1 year follow-up observational study.,2025-Apr-10,"['Ulrik Lidwall', 'Bodil J Landstad']","{'Unit of Research, Education and Development, Östersund Hospital, Östersund, Sweden.'}",['N/A']
40216402,Special Topic Burnout: Improving Nurse Documentation Time via an Electronic Health Record Documentation Efficiency Tool.,2025-Apr-11,"['John Will', 'Deborah Jacques', 'Denise Dauterman', 'Rachelle Torres', 'Glenn Doty', ""Kerry O'Brien""]",['N/A'],['N/A']
40215673,Comparative analysis of work-related factors associated with burnout and its dimensions among nursing faculty in Canada and the United States.,2025-Apr-04,['N/A'],['N/A'],['N/A']
40215569,A bibliometric overview of research on emergency nursing and burnout.,2025-Apr-10,['N/A'],['N/A'],['N/A']
40213754,A Comparative Cross-Sectional Study of Stressors and Experiences Among Pediatric and General Hospital Nurses in the Post-COVID-19 Era.,N/A,"['Sotiria Loukidou', 'Vaios Kalatzis']",['N/A'],['N/A']
40211186,Examining the link between intensive care unit nurses' burnout and perceived quality of life: a multicenter cross-sectional study.,2025-Apr-10,"['Tajah Ali Akhdair', 'Salman Amish Alshammari', 'Mubarak Ashewi Eid Alshammari']",['N/A'],['N/A']
40208713,A systematic review of occupational stress and burnout in EMT and paramedic populations and associated consequences.,2025-Apr-10,['N/A'],['N/A'],['N/A']
